Study,Sample,Sample_Type,DPN,Sample_Vol,InteritE_DNA,IntegritE_Cq,IntegritE_Total,IntegritE_Copies,IntegritE_SE,I6S_DNA,I6S_Cq,I6S_Total,I6S_Copies,I6S_SE,NosZI_DNA,NosZI_Cq,NosZI_Total,NosZI_Copies,NosZI_SE,NosZII_DNA,NosZII_Total,NosZII_Copies,NosZII_SE,Notes
PCS2019,86,gDNA,47,,"699,319.29",16.63,,,,"2,066,904.90",16.41,,,,"36,427.45",18.96,,,,"313,927.84",,,,
PCS2019,86,gDNA,47,,"527,235.68",17.05,,,,"1,909,096.25",16.53,,,,"34,772.14",19.03,,,,"344,673.64",,,,
PCS2019,86,gDNA,47,,,,,,,"2,179,292.92",16.33,,,,"34,772.14",19.03,,,,"323,229.15",,,,
PCS2019,86,gDNA,47,,,,,,,"2,164,916.84",16.34,,,,"33,192.05",19.1,,,,"336,715.81",,,,
PCS2019,86,gDNA,47,,,,,,,"2,066,904.90",16.41,,,,"34,085.95",19.06,,,,"325,122.23",,,,
PCS2019,86,gDNA,47,,,,,,,"1,717,266.10",16.69,,,,"30,043.74",19.25,,,,"313,927.84",,,,
PCS2019,2,cDNA,48,4.99,"10,234,044.85",12.64,89410180095,17905312926,440,"25,392,999.16",12.62,2.18E+11,43725616941,655384305,121.85,27.54,985276,197312,8942,308.3,2628137,526312,27536,
PCS2019,2,cDNA,48,,"11,094,202.59",12.52,,,,"25,059,085.61",12.64,,,,121.04,27.55,,,,352.61,,,,
PCS2019,2,cDNA,48,,"10,513,086.59",12.6,,,,"26,773,744.33",12.54,,,,102.52,27.8,,,,215.91,,,,
PCS2019,2,cDNA,48,,"10,234,044.85",12.64,,,,"24,083,460.21",12.7,,,,100.49,27.83,,,,338.49,,,,
PCS2019,2,cDNA,48,,,,,,,"25,561,620.77",12.61,,,,130.22,27.44,,,,271.13,,,,
PCS2019,2,cDNA,48,,,,,,,"25,392,999.16",12.62,,,,135.51,27.38,,,,321.16,,,,
PCS2019,2,cDNA,48,,,,,,,"27,674,581.22",12.49,,,,121.04,27.55,,,,348.52,,,,
PCS2019,2,cDNA,48,,,,,,,"25,561,620.77",12.61,,,,94.66,27.92,,,,317.43,,,,
PCS2019,41,cDNA,49,5.01,"4,505,241.66",13.86,31618601950,6312106115,451,"10,460,341.10",13.96,79293184820,15829510664,448093397,39.38,29.24,275491,54997,3648,115.58,598535,119487,7976,
PCS2019,41,cDNA,49,,"4,445,049.77",13.88,,,,"11,029,122.49",13.88,,,,41.81,29.15,,,,69.54,,,,
